English common name of herbal substance,Latin name of herbal substance,Full Text PDF URL,Monograph PDF URL,Page URL,Revision date,Interactions with other medicinal products and other forms of interaction,Unnamed: 2,Unnamed: 3,date,url,Undesirable effects,Overdose,Pharmacodynamic properties,Pharmacokinetic properties,Preclinical safety data
California poppy,Eschscholziae herba,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-eschscholzia-californica-cham-herba_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-eschscholzia-californica-cham-herba_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/eschscholziae-herba,2022-02-15 16:00:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC, unless necessary for the safe use of the product. Tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Java Tea,Orthosiphonis folium,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-orthosiphon-aristatus-blume-miq-var-aristatus-folium-revision-1_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/european-union-herbal-monograph-orthosiphon-aristatus-blume-miq-var-aristatus-folium-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/orthosiphonis-folium,2021-12-14 15:00:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC, unless necessary for the safe use of the product. Adequate tests on genotoxicity have not been performed. Tests on reproductive toxicity and carcinogenicity have not been performed."
Brewer's yeast ,Saccharomyces cerevisiae CBS 5926,only draft available,not available,https://www.ema.europa.eu/en/medicines/herbal/saccharomyces-cerevisiae-cbs-5926,2021-11-29 12:49:00,,,,,,,No case of overdose has been reported.,,,
"Mastic (Mastix, Pistaciae lentisci resina)",Mastic,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-pistacia-lentiscus-l-resin-mastic_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-pistacia-lentiscus-l-resin-mastic_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/mastic,2021-11-29 12:29:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC, unless necessary for the safe use of the product. Adequate tests on genotoxicity have not been performed. Tests on reproductive toxicity and carcinogenicity have not been performed."
Maté Leaf,Mate folium,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-ilex-paraguariensis-st-hilaire-folium-first-version_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-ilex-paraguariensis-st-hil-folium-first-version_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/mate-folium,2021-11-29 12:23:00,Persons taking MAO-inhibitor drugs should use mate with caution. Caffeine containing preparations reduce sedative action and increase side effects caused by sympathomimetic drugs.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended. Caffeine crosses the placenta and is distributed in breast milk.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Adequate tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Bergamot oil,Citri bergamiae aetheroleum,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-citrus-bergamia-risso-et-poiteau-aetheroleum_en.pdf,Not available,https://www.ema.europa.eu/en/medicines/herbal/citri-bergamiae-aetheroleum,2021-11-29 12:18:00,,,,,,,,,,
Centella,Centellae asiaticae herba,https://www.ema.europa.eu/en/documents/herbal-report/draft-assessment-report-centella-asiatica-l-urb-herba_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/draft-european-union-herbal-monograph-centella-asiatica-l-urb-herba-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/centellae-asiaticae-herba,2021-10-29 14:22:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Adequate tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Herbal tea combinations for use as sedatives,Combination: Species sedativae,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-species-sedativae_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-species-sedativae_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/species-sedativae,2021-10-28 11:06:00,None reported.,,,,,"None known In herbal tea combinations containing Valeriana officinalis L., radix, gastrointestinal symptoms (e.g. nausea, abdominal cramps) may occur. The frequency is not known. If adverse reactions occur, a doctor or a qualified health care practitioner should be consulted.",No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC, unless necessary for the safe use of the product. Tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Herbal tea combinations for use in loss of appetite,Combination: Species amarae,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-species-amarae_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-species-amarae_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/species-amarae,2021-10-26 11:37:00,None reported.,,,,,"For an individual combination the combined information regarding undesirable effects taken from the European Union herbal monographs for the single ingredients have to be used. If other adverse reactions occur, a doctor or a qualified health care practitioner should be consulted.",All combinations except for those containing Centaurii herba: No case of overdose has been reported. Combinations containing Centaurii herba: Stomach disturbances and nausea have been reported for tea preparations containing Centaurii herba.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC, unless necessary for the safe use of the product. Combinations without Absinthii herba: Adequate tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed. Combinations containing Absinthii herba: Additionally: Thujone is reported to be neurotoxic and chemotypes of Absinthi herba with low content of thujone should be preferred. Thujone is known for its uterus stimulating activity. Combinations containing Gentianae radix: Additionally: For some xanthones which are among the constituents of Gentiana lutea, positive results were found in the AMES test preincubation method)."
Wild Pansy,Violae herba cum flore,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-viola-tricolor-l/subspecies-viola-arvensis-murray-gaud-viola-vulgaris-koch-oborny-herba-cum-flore_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-viola-tricolor-l_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/violae-tricoloris-herba-cum-flore,2021-09-16 12:44:00,None reported.,,,,,"One case of haemolysis in a child with G6PD deficiency has been reported after oral administration. The frequency is not known. If other adverse reactions not mentioned above occur, a doctor or a qualified health care practitioner should be consulted.",No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC, unless necessary for the safe use of the product. Tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Saw Palmetto Fruit,Sabalis serrulatae fructus,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-serenoa-repens-w-bartram-small-fructus_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-serenoa-repens-w-bartram-small-fructus_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/sabalis-serrulatae-fructus,2021-09-16 11:57:00,A few cases of suspected interactions with warfarin have been reported. Increased INR values have been described.,,,,,"Gastro-intestinal disorders Common: abdominal pain Uncommon: nausea Hepatobiliary disorders Uncommon: increase of transaminases or gammaglutamyltransferases Skin and subcutaneous tissue disorders Uncommon: skin rash Endocrine disorders Uncommon: reversible gynecomastia Nervous system disorders Common: headache If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.

Gastro-intestinal complaints
Uncommon: nausea, vomiting, diarrhoea,
abdominal pain (especially when taken on an
empty stomach).
Immune system disorders
Allergic or hypersensitivity reactions may occur.
The frequency is not known.
Nervous system disorders
Headache may occur. The frequency is not known.
If other adverse reactions occur, a doctor or a
qualified health care practitioner should be
consulted.",No case of overdose has been reported.,"Pharmacotherapeutic group: benign prostatic hyperplasia. The mechanism of action is not known. Proposed ATC code: G04CX02

Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.",Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC, unless necessary for the safe use of the product. Tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Butcher's Broom,Rusci rhizoma,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-ruscus-aculeatus-l-rhizoma-revision-1_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/european-union-herbal-monograph-ruscus-aculeatus-l-rhizoma-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/rusci-rhizoma,2021-09-16 11:50:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC, unless necessary for the safe use of the product. Tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Clove,Caryophylli flos,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-syzygium-aromaticum-l-merill-et-lm-perry-flos-syzygium-aromaticum-l-merill_en.pdf,not available,https://www.ema.europa.eu/en/medicines/herbal/caryophylli-flos,2021-09-16 11:48:00,,,,,,,,,,
Clove oil,Caryophylli floris aetheroleum,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-syzygium-aromaticum-l-merill-et-lm-perry-flos-syzygium-aromaticum-l-merill_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-syzygium-aromaticum-l-merill-et-l-m-perry-floris-aetheroleum_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/caryophylli-floris-aetheroleum,2021-09-16 11:42:00,None reported.,,,,,"Mucosal irritations and allergic reactions have been reported. The frequency is not known. If other adverse reactions not mentioned above occur, a doctor or a qualified health care practitioner should be consulted.","No case of overdose from oromucosal or dental use has been reported. After oral administration of 5-10 ml of clove oil in children below 2 years of age, life threatening conditions were observed. Overdose may lead to CNS depression, urinary abnormalities, anion gap acidosis, deterioration of liver function, coma, seizure and low blood glucose levels. Treatment should be supportive and symptomatic; there have been reports in the literature that N-acetylcysteine has been successfully used as an antidote.",Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Eugenol, the main component of clove oil, showed equivocal results in several test systems for genotoxicity and carcinogenicity. Adequate tests on reproductive toxicity, genotoxicity and carcinogenicity of the entire clove oil have not been performed."
Three-lobed sage leaf,Salviae trilobae folium,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-salvia-fruticosa-mill-folium_en.pdf,not available,https://www.ema.europa.eu/en/medicines/herbal/salviae-trilobae-folium,2021-09-16 11:30:00,,,,,,,,,,
Milkthistle Fruit,Silybi mariani fructus,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-silybum-marianum-l-gaertn-fructus_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-silybum-marianum-l-gaertn-fructus_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/silybi-mariani-fructus,2021-09-16 11:12:00,None reported.,,,,,"Mild gastrointestinal symptoms such as dry mouth, nausea, upset stomach, gastric irritation and diarrhoea may occur; headache; allergic reactions (dermatitis, urticaria, skin rash, pruritus, anaphylaxis, asthma) may occur. The frequency is not known. If other adverse reactions not mentioned above occur, a doctor or a qualified health care practitioner should be consulted.",No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Adequate tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Evening primrose oil,Oenotherae oleum,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-oenothera-biennis-l-oenothera-lamarckiana-l-oleum-revision-1_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-oenothera-biennis-l-oenothera-lamarckiana-l-oleum-revsion-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/oenotherae-oleum,2021-09-15 14:00:00,None reported.,,,,,"Gastrointestinal effects, indigestion, nausea, softening of stool, rise in temperature, hypersensitive reactions like exanthema and headache have been reported. The frequency is not known. If other adverse reactions not mentioned above occur, a doctor or a qualified health care practitioner should be consulted.",The symptoms of overdosing are mild diarrhoea and abdominal pain. No special treatment is required.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Adequate tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Mallow leaf,Malvae folium,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-malva-sylvestris-l/malva-neglecta-wallr-folium-malva-sylvestris-l-flos-first-version_en-0.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-malva-sylvestris-l/malva-neglecta-wallr-folium-first-version_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/malvae-folium,2021-09-15 13:58:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC, unless necessary for the safe use of the product. Tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Kava-kava,Piperis methystici rhizoma,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-piper-methysticum-g-forst-rhizoma_en.pdf,Not available,https://www.ema.europa.eu/en/medicines/herbal/piperis-methystici-rhizoma,2021-09-15 11:53:00,,,,,,,,,,
Guarana,Paulliniae semen,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-paullinia-cupana-kunth-ex-hbk-var-sorbilis-mart-ducke-semen-first-version_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-paullinia-cupana-kunth-ex-hbk-var-sorbilis-mart-ducke-semen-first_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/paulliniae-semen,2021-09-15 11:44:00,Persons taking MAO-inhibitor drugs should use Paulliniae semen with caution. Caffeine containing preparations reduce sedative action and increase side effects caused by sympathomimetic drugs.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended. Caffeine crosses the placenta and is distributed in breast milk.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC, unless necessary for the safe use of the product. Tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Juniper cone berry,Juniperi pseudo-fructus (galbulus),https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-juniperi-pseudo-fructus_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-juniperus-communis-l-pseudo-fructus_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/juniperi-pseudo-fructus-galbulus,2021-09-15 11:43:00,None reported.,,,,,"Allergic skin reactions have been reported. The frequency is not known. If other adverse reactions not mentioned above occur, a doctor or a qualified health care practitioner should be consulted.","In case of prolonged use and overdose, urine will smell of violets. There may be renal irritation and pain in and near the kidney, strong diuresis, albuminuria, haematuria, purplish urine, gastrointestinal upsets, accelerated heartbeat and blood pressure. Rarely symptoms of central stimulation like convulsions occur as well as metrorrhagia and abortion.",Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended. There is limited evidence from preclinical studies that juniper may influence glucose levels in diabetes.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Adequate tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Lovage root,Levistici radix,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-levisticum-officinale-koch-radix_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-levisticum-officinale-koch-radix_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/levistici-radix,2021-09-15 11:24:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Adequate tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
"Peony root, red",Paeoniae radix rubra,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-paeonia-lactiflora-pall/paeonia-veitchii-lynch-radix-paeoniae-radix-rubra_en.pdf,Not available,https://www.ema.europa.eu/en/medicines/herbal/paeoniae-radix-rubra,2021-09-15 11:23:00,,,,,,,,,,
Ginseng,Ginseng radix,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-panax-ginseng-ca-meyer-radix_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-panax-ginseng-ca-meyer-radix_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/ginseng-radix,2021-09-15 11:23:00,None reported.,,,,,"Hypersensitivity reactions (urticaria, itching), insomnia and gastrointestinal disorders like stomach discomfort, nausea, vomiting, diarrhoea, and constipation have been reported. The frequency is not known.",No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. No signs of genotoxicity were observed in an AMES-test (Salmonella typhimurium strains TA 1535, TA 1537, TA 1538, TA 98 and TA 100) with and without metabolic activation using an extract prepared with ethanol 40% V/V (herbal preparation D). This was confirmed with an extract prepared with ethanol 80% in a guidelineconform AMES-test (OECD-471) with and without metabolic activation as well as in a micronucleus test. After 2 years of oral administration of an extract prepared with ethanol 80% in dosages of up to 5000 mg/kg b.w. no signs of carcinogenicity were observed in mice or rats.

Adequate tests on reproductive toxicity have not
been performed."
"Peony root, white",Paeoniae radix alba,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-paeonia-lactiflora-pallas-radix-paeoniae-radix-alba_en.pdf,Not available,https://www.ema.europa.eu/en/medicines/herbal/paeoniae-radix-alba,2021-09-15 11:16:00,,,,,,,,,,
Lemon verbena leaf,Verbenae citriodorae folium,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-aloysia-citrodora-palau-syn-aloysia-triphylla-lher-kuntze-verbena-triphylla_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-aloysia-citrodora-palau-syn-aloysia-triphylla-lher-kuntze_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/verbenae-citriodorae-folium,2021-08-16 15:56:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Adequate tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Couch grass rhizome,Agropyri repentis rhizoma,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-agropyron-repens-l-p-beauv-rhizoma_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-agropyron-repens-l-p-beauv-rhizoma_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/agropyri-repentis-rhizoma,2021-07-30 16:18:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Adequate tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Herbal tea combinations for use in gastrointestinal complaints,Combination: Species digestivae,https://www.ema.europa.eu/en/documents/herbal-report/draft-assessment-report-species-digestivae_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/draft-european-union-herbal-monograph-species-digestivae_mo.pdf,https://www.ema.europa.eu/en/medicines/herbal/species-digestivae-stomachicae,2021-07-30 11:32:00,"All combinations except for those containing Liquiritiae radix and/or Matricariae flos: None reported. Combinations containing Liquiritiae radix: Not to use concomitantly with diuretics, cardiac glycosides, corticosteroids, stimulant laxatives or other medications which may aggravate electrolyte imbalance. Combinations containing Matricariae flos: For patients after renal transplantation taking high doses for longer periods (about two months) interactions based on effects on CYP450 have been reported.",,,,,"Combinations containing Absinthii herba, Althaeae radix, Carvi fructus, Centaurii herba, Cinnamomi cortex, Fumariae herba, Liquiritiae radix, Melissae folium, Marrubii herba or Salviae officinalis folium: None known. If adverse reactions occur, a doctor or a qualified health care practitioner should be consulted. Combinations containing Anisi fructus: Allergic reactions to aniseed affecting the skin or the respiratory system have been reported. The frequency is not known. Combinations containing Boldi folium: Hypersensitivity (anaphylaxis) has been reported. The frequency is not known Combinations containing Foeniculi fructus or Rosmarini herba: Allergic reactions affecting the skin, or the respiratory system may occur. The frequency is not known. Combinations containing Curcumae xanthorrhizae rhizoma: Mild gastrointestinal symptoms such as dry mouth, flatulence and gastric irritation may occur. The frequency is not known. Combinations containing Gentianae radix: Gastrointestinal disorders have been observed. The frequency was uncommon. In rare cases, tachycardia and pruritus have been reported. Headache may occur. The frequency is not known. Combinations containing Hyperici herba: Gastrointestinal disorders, allergic skin reactions, fatigue and restlessness may occur. The frequency is not known. Fair-skinned individuals may react with intensified sunburn-like symptoms under intense sunlight. Combinations containing Matricariae flos: Hypersensitivity reactions including severe allergic reaction (dyspnoea, Quincke’s disease, vascular collapse, anaphylactic shock) following mucosal contact with liquid chamomile preparations have been reported. The frequency is not known. Combinations containing Menthae piperitae herba: The gastro-oesophageal reflux may worsen, and heartburn may increase. The frequency is not known. Combinations containing Millefolii herba: Hypersensitivity reactions of the skin have been reported. The frequency is not known. Combinations containing Taraxaci radix cum herba: Epigastric pain and hyperacidity may occur. The frequency is not known. Allergic reactions may occur. The frequency is not known. If other adverse reactions not mentioned above occur, a doctor or a qualified health care practitioner should be consulted","All combinations except for those containing Centaurii herba and/or Liquiritiae radix: No case of overdose has been reported. Combinations containing Centaurii herba: Stomach disturbances and nausea have been reported. Combinations containing Liquiritiae radix: Water retention, hypokalaemia, hypertension, cardiac rhythm disorders, hypertensive encephalopathy.",Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC, unless necessary for the safe use of the product. Combinations containing Absinthii herba: Thujone is reported to be neurotoxic and chemotypes with low content of thujone should be preferred. Tests on reproductive toxicity have been performed with a dry ethanolic extract of Absinthii herba administered orally to pregnant rats. Results showed reduced sites of implantations and a reduced rate of born pups. Thujone is known for its uterus stimulating activity. Combinations containing Anisi fructus: Results from non-clinical studies showed a weak mutagenic potential of anethole. Anethole and its metabolites are unlikely to be genotoxic in vivo. The genotoxic risk related to estragole is not considered to be relevant in the specified conditions of use (short term use in adolescents, adults and elderly) due to the small amount present in herbal infusions prepared from aniseed. Combinations containing Boldi folium: Tests on genotoxicity and carcinogenicity have not been performed. Combinations containing Foeniculi fructus: A fennel aqueous extract was tested in an Ames test on Salmonella typhimurium strains TA98, TA100 and turned out as negative. Results from studies carried out in laboratory animals showed a weak mutagenic activity of anethole. The genotoxic risk related to estragole is not considered to be relevant in the specified conditions of use due to the small amount present in herbal infusions prepared from fennel. Combinations containing Gentianae radix: For some xanthones which are among the constituents of Gentiana lutea, positive results were found in the AMES test (pre-incubation method). Assessment of preclinical safety requires further studies towards these effects. Combinations containing Hyperici herba: Studies on acute toxicity and repeated dose toxicity did not show signs of toxic effects. Tests on reproductive toxicity revealed equivocal results. Tests on genotoxicity and carcinogenicity have not been performed."
Pink rock-rose,Cisti cretici herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/cisti-cretici-herba,2021-07-26 17:10:00,,,,,,,,,,
Bogbean leaf,Menyanthidis trifoliatae folium,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-menyanthes-trifoliata-l-folium_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-menyanthes-trifoliata-l-folium_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/menyanthidis-trifoliatae-folium,2021-07-20 14:38:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Adequate tests on genotoxicity have not been performed. Tests on reproductive toxicity and carcinogenicity have not been performed."
Cola,Colae semen,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-cola-nitida-vent-schott-et-endl-its-varieties-cola-acuminata-p-beauv-schott_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-cola-nitida-vent-schott-et-endl-its-varieties-cola-acuminata-p_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/colae-semen,2021-06-28 17:22:00,Patients taking MAO-inhibitor drugs should use Colae semen preparations with caution. Colae semen preparations like other caffeine containing preparations reduce action of sedative drugs and increase side effects caused by sympathomimetic drugs.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended. Caffeine crosses the placenta and is distributed in breast milk.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Tribulus herb ,Tribuli terrestris herba,not available,not available,https://www.ema.europa.eu/en/medicines/herbal/tribuli-terrestris-herba,,,,,,,,,,,
